Codigo;Prefijo
http://es-la.dbpedia.org/resource/;dbr
http://www.ontologydesignpatterns.org/ont/d0.owl;ontologia
http://dbpedia.org/resource/;dbr
http://dbpedia.org/ontology/;dbo
http://dbpedia.org/resource/Category:;dbc
http://www.w3.org/2000/01/rdf-schema#;rdfs	 
http://www.w3.org/1999/02/22-rdf-syntax-ns#;rdf	 	
http://www.w3.org/2000/01/rdf-schema#;rdfs	 
http://schema.org/;schema	 
http://xmlns.com/foaf/0.1/;foaf
http://www.prova.org/foaf/;foaf
http://www.tikag.com/;foaf
https://www.tikag.com/blog/;foaf
https://www.tikag.com/;foaf
https://www.tikag.com/questionnaire/;foaf
https://www.tikag.com/messages/;foaf
https://www.tikag.com/jokes/;foaf
https://www.tikag.com/videos/;foaf
http://xmlns.com/foaf/;foaf
http://www.yolopranks.com/;foaf
http://purl.org/dc/elements/1.1/;foaf
http://blabla.com/;foaf
http://b.l/a/;foaf
http://www.w3.org/2002/07/owl#;owl	 
http://yago-knowledge.org/resource/;yago	
http://dbpedia.org/class/yago/;yago
http://dbpedia.org/class/;yago
http://www.opengis.net/ont/geosparql#;geo	
http://www.w3.org/2003/01/geo/wgs84_pos#;geo 
http://www.opengis.net/geosparql#;geo
http://rdf.insee.fr/def/geo#;geo
http://purl.org/dc/terms/;dct	 
http://purl.org/dc/elements/1.1/;dc	 
http://purl.org/dc/terms/;dc
http://dublincore.org/documents/dces/;dc
http://bloody-byte.net/rdf/dc_owl2dl/;dc
http://vivoweb.org/ontology/core#;vivo	 
http://purl.org/ontology/bibo/;bibo	 
http://purl.org/ontology/bibo/#;bibo
http://www.w3.org/2006/vcard/ns#;vcard	 
http://127.0.0.1:3030/cycu.edu.tw/123#;vcard
http://127.0.0.1:3333/cycu.edu.tw/123#;vcard
http://www.w3.org/2001/vcard-rdf/3.0#;vcard
http://www.w3.org/ns/org#;org
http://rdfs.org/sioc/ns#;org
http://www.w3.org/2001/04/roadmap/org#;org
